element_type,osmid,amenity,name,geometry
node,5807389647,waste_basket,,POINT (16.3976032 48.1684091)
node,5809227071,vending_machine,,POINT (16.3966665 48.1690155)
node,5809227072,waste_basket,,POINT (16.3965398 48.1689445)
node,5809227074,vending_machine,,POINT (16.399126 48.17031)
node,5809227076,telephone,,POINT (16.4019911 48.1691276)
node,5809244424,recycling,,POINT (16.3766616 48.1563937)
node,5809244428,bicycle_parking,,POINT (16.3770731 48.1558965)
node,5809244429,waste_basket,,POINT (16.3770752 48.1557439)
node,5809244430,waste_basket,,POINT (16.3775521 48.1556231)
node,5809244433,waste_basket,,POINT (16.3777096 48.1550238)
node,5809244434,waste_basket,,POINT (16.3777234 48.1548115)
node,5809244435,waste_basket,,POINT (16.3773917 48.1545065)
node,5809244440,recycling,,POINT (16.3773117 48.1532746)
node,5809244442,waste_basket,,POINT (16.376109 48.1509916)
node,5831143989,parking,,POINT (16.3549133 48.176436)
node,5837084685,telephone,,POINT (16.3839881 48.15977)
node,5837084686,recycling,,POINT (16.3856108 48.1599024)
node,5847400855,bench,,POINT (16.4201523 48.1322011)
node,5847400856,bench,,POINT (16.4201188 48.1322145)
node,5899983342,recycling,,POINT (16.3927791 48.1572141)
node,5899983343,recycling,,POINT (16.3919677 48.1567945)
node,5902399671,waste_basket,,POINT (16.3766226 48.1841901)
node,5902401652,waste_basket,,POINT (16.3784893 48.182)
node,5902403504,waste_basket,,POINT (16.3764816 48.1844101)
node,5902420412,waste_basket,,POINT (16.3775906 48.1839876)
node,5902423419,waste_basket,,POINT (16.3763016 48.1845248)
node,5902423422,waste_basket,,POINT (16.3761948 48.1846576)
node,5903930762,bicycle_parking,,POINT (16.3774061 48.1838344)
node,5903930763,bicycle_parking,,POINT (16.3773103 48.1837684)
node,5903937391,bicycle_parking,,POINT (16.3773735 48.1840937)
node,5903943895,waste_basket,,POINT (16.3755792 48.1845255)
node,5903943896,bicycle_parking,,POINT (16.3757938 48.1844664)
node,5903943897,waste_basket,,POINT (16.3758099 48.1844196)
node,5903943898,waste_basket,,POINT (16.3759349 48.1844416)
node,5903943899,bench,,POINT (16.3758454 48.1844444)
node,5903943900,bench,,POINT (16.375962 48.1844658)
node,5909477300,public_bath,Wellnessoase Sonnwendviertel,POINT (16.3802129 48.181047)
node,5914440091,restaurant,Weingut Franz Wieselthaler,POINT (16.399249 48.1378976)
node,5919302986,restaurant,Eloa by Cohen‘s,POINT (16.3783072 48.1863774)
node,5927646724,bicycle_parking,,POINT (16.3682971 48.1719973)
node,5927646725,bicycle_parking,,POINT (16.3699277 48.1717467)
node,5927646726,bicycle_parking,,POINT (16.3703045 48.1716913)
node,5927649799,bicycle_parking,,POINT (16.3586301 48.1739095)
node,5945371984,charging_station,E-Bike Ladestelle,POINT (16.3569734 48.1782972)
node,5955041140,telephone,,POINT (16.4024548 48.1536432)
node,5955041141,waste_basket,,POINT (16.4024153 48.1536785)
node,5959459042,parking_entrance,,POINT (16.3775989 48.1861692)
node,5984151075,fast_food,Choco Teria,POINT (16.3737126 48.1750777)
node,5984151076,cafe,S' Mausloch,POINT (16.3736455 48.1750831)
node,5984151077,restaurant,La Koliba,POINT (16.3735583 48.1750921)
node,6008676755,bench,,POINT (16.3969667 48.1599565)
node,6056294395,restaurant,China Reumannplatz,POINT (16.379486 48.1717132)
node,6056294399,restaurant,Dönerist,POINT (16.3794136 48.1707365)
node,6056294400,restaurant,Kess,POINT (16.3792513 48.1723473)
node,6076981520,bench,,POINT (16.3804912 48.1683851)
node,6076981521,bench,,POINT (16.3805046 48.1683511)
node,6076981575,telephone,,POINT (16.3802458 48.1698564)
node,6076981577,atm,,POINT (16.3809043 48.1682529)
node,6076981578,pharmacy,Apotheke U1 Troststraße,POINT (16.3809223 48.1683014)
node,6138181481,waste_basket,,POINT (16.3777721 48.1731639)
node,6138183330,waste_basket,,POINT (16.3803584 48.168237)
node,6138183331,waste_basket,,POINT (16.3803785 48.1682174)
node,6138183332,waste_basket,,POINT (16.3800339 48.1680939)
node,6138183333,waste_basket,,POINT (16.3802786 48.169572)
node,6138183415,drinking_water,,POINT (16.3806252 48.1682258)
node,6139018018,recycling,,POINT (16.333354 48.1647978)
node,6139107165,parking_entrance,,POINT (16.3375533 48.1619795)
node,6140412089,charging_station,Therme Wien Garage Oberlaa,POINT (16.401894 48.1429401)
node,6166883189,bench,,POINT (16.3775798 48.1477164)
node,6166883190,bench,,POINT (16.3776537 48.1477041)
node,6175918987,bench,,POINT (16.3818182 48.1821576)
node,6175918988,bench,,POINT (16.381837 48.1821545)
node,6175918989,bench,,POINT (16.381904 48.181909)
node,6175918990,bench,,POINT (16.3819376 48.1819072)
node,6175918991,bench,,POINT (16.3819154 48.1819175)
node,6175919040,parking_entrance,,POINT (16.3874303 48.1792464)
node,6175919068,parking_entrance,,POINT (16.3867559 48.1798458)
node,6209276060,fast_food,Kenny's,POINT (16.3781601 48.1748649)
node,6236866843,bicycle_parking,,POINT (16.3809685 48.1852909)
node,6236866846,bicycle_parking,,POINT (16.3793519 48.1835937)
node,6253867852,pharmacy,Rax-Apotheke,POINT (16.3593118 48.1664343)
node,6254261606,post_office,Post Filiale 1106,POINT (16.3779374 48.1685303)
node,6264867675,restaurant,Ebi 10,POINT (16.3482482 48.1680896)
node,6284451209,restaurant,Asia Ruyi Teppanyaki,POINT (16.3809943 48.1681153)
node,6284882542,fuel,,POINT (16.3416941 48.15644)
node,6284882546,waste_basket,,POINT (16.341859 48.1561769)
node,6284882547,waste_basket,,POINT (16.3419636 48.1561411)
node,6284882548,vacuum_cleaner,,POINT (16.3419194 48.1561599)
node,6284882549,vacuum_cleaner,,POINT (16.3420575 48.1565572)
node,6284882550,toilets,,POINT (16.3420427 48.1561608)
node,6284882553,car_wash,BP Autowäsche,POINT (16.3421466 48.1562365)
node,6284882556,car_wash,BP Sb Wäsche,POINT (16.3419334 48.1566091)
node,6284882579,waste_basket,,POINT (16.3420506 48.1565458)
node,6307130479,parking_entrance,,POINT (16.36255 48.1740603)
node,6378953909,driving_school,Fahrschule Columbus,POINT (16.3746064 48.1751951)
node,6379024038,fast_food,Radatz,POINT (16.3768947 48.176778)
node,6379158893,doctors,Allergie-Ambulatorium Reumannplatz,POINT (16.3783019 48.1747347)
node,6379164524,cafe,Tchibo,POINT (16.3772321 48.1771031)
node,6379170080,bank,Bank Austria,POINT (16.3727181 48.1755474)
node,6379170551,doctors,Ihr Labor,POINT (16.3751574 48.1741062)
node,6379240967,veterinary,Dr.Teufel,POINT (16.3669529 48.1744428)
node,6403080385,doctors,Dr. Michaela Schrödl,POINT (16.3843183 48.1767747)
node,6406974444,charging_station,Lidl Davidgasse,POINT (16.3662868 48.1736593)
node,6410434009,parking,QBC Garage,POINT (16.3798704 48.1864309)
node,6432974580,restaurant,Bernardo´s,POINT (16.3749555 48.1827275)
node,6440200278,charging_station,HPC Verteilerkreis,POINT (16.3850646 48.1595486)
node,6459611048,bank,Oberbank,POINT (16.3466099 48.1692107)
node,6481662409,bicycle_parking,,POINT (16.371018 48.1785742)
node,6482322714,recycling,,POINT (16.3920922 48.1455853)
node,6551088335,restaurant,Loving Hut,POINT (16.3437634 48.1681472)
node,6577221744,charging_station,THE ICON VIENNA Garage Gertrude-Fröhlich-Sandner-Straße,POINT (16.3777431 48.1861196)
node,6577225813,charging_station,Wipark Garage Hauptbahnhof Wien Station 2,POINT (16.3784057 48.1841136)
node,6577239400,charging_station,Goldbeck Garage Maria-Lassnig-Straße Station 2,POINT (16.3869015 48.1796594)
node,6577241100,charging_station,Goldbeck Garage Maria-Lassnig-Straße Station 1,POINT (16.3868533 48.1797006)
node,6594578883,drinking_water,,POINT (16.3886842 48.1769297)
node,6594578884,bench,,POINT (16.388733 48.1769817)
node,6672474009,fountain,,POINT (16.3748244 48.1820798)
node,6681336186,atm,,POINT (16.365932 48.1726739)
node,6685044787,bicycle_parking,,POINT (16.3776813 48.1842961)
node,6685081885,bicycle_parking,,POINT (16.3782565 48.1841763)
node,6687448785,bicycle_parking,,POINT (16.3808582 48.1835094)
node,6687448885,bicycle_parking,,POINT (16.3812666 48.1851231)
node,6690885491,pharmacy,Apotheke im Sonnwendviertel,POINT (16.3877037 48.1782483)
node,6690891889,bicycle_parking,,POINT (16.3797823 48.1870638)
node,6690895885,bicycle_parking,,POINT (16.3796055 48.1874046)
node,6690895985,bicycle_parking,,POINT (16.3785555 48.1864448)
node,6728969358,atm,,POINT (16.3877334 48.1782412)
node,6775073649,waste_basket,,POINT (16.3983959 48.1497622)
node,6813961289,parking,,POINT (16.4197299 48.1317285)
node,6821152168,doctors,Dr. Jolanta Rodriguez Medina,POINT (16.3502049 48.1709512)
node,6873290685,cafe,Tatlises,POINT (16.3755944 48.182103)
node,6873348286,fast_food,Jasmin al Sham,POINT (16.3754629 48.1762037)
node,6875798604,hunting_stand,,POINT (16.3954988 48.162044)
node,6912336080,parking_entrance,,POINT (16.394267 48.1649578)
node,6912377514,parking_entrance,,POINT (16.3944123 48.1652792)
node,6912397720,waste_basket,,POINT (16.3952111 48.1645125)
node,6912397721,parking_entrance,,POINT (16.3952786 48.1642113)
node,6912414330,waste_basket,,POINT (16.3947042 48.1676183)
node,6912434106,recycling,,POINT (16.3954967 48.1683535)
node,6912475855,bench,,POINT (16.4005286 48.1674484)
node,6912475857,bench,,POINT (16.4004638 48.167694)
node,6912475858,bench,,POINT (16.400947 48.1672948)
node,6912485087,bench,,POINT (16.3980255 48.1684432)
node,6912485092,bench,,POINT (16.3973383 48.1686368)
node,6912495503,bench,,POINT (16.3988409 48.1681273)
node,6912495504,waste_basket,,POINT (16.3993513 48.1680098)
node,6912495505,bench,,POINT (16.3990684 48.1680388)
node,6912495506,bench,,POINT (16.3993082 48.1679614)
node,6912511830,waste_basket,,POINT (16.40159 48.1663736)
node,6912514829,bench,,POINT (16.4012985 48.1668601)
node,6912514831,bench,,POINT (16.4010876 48.167064)
node,6912514832,bench,,POINT (16.4012893 48.1669175)
node,6912514833,bench,,POINT (16.4012503 48.1668208)
node,6912514835,waste_basket,,POINT (16.4012813 48.1668534)
node,6912514836,bench,,POINT (16.4010675 48.1668256)
node,6912514837,bench,,POINT (16.4012049 48.1670386)
node,6912569607,recycling,,POINT (16.4031155 48.1683986)
node,6912574163,waste_basket,,POINT (16.403466 48.1681742)
node,6939648782,atm,,POINT (16.3784466 48.1730616)
node,6952504602,social_facility,Casa Pflegewohnheim,POINT (16.3815359 48.1791513)
node,6952524398,bar,Mimi im Stadtelefant,POINT (16.3871196 48.179047)
node,6952756976,fast_food,Kenny's,POINT (16.386118 48.1793011)
node,6978459785,restaurant,Das Kepler,POINT (16.3767304 48.1792287)
node,7018694125,atm,SB-HTC-Philips,POINT (16.3368178 48.1630906)
node,7019470723,telephone,,POINT (16.3452824 48.1700077)
node,7019516966,charging_station,,POINT (16.3681985 48.1636711)
node,7019530932,waste_basket,,POINT (16.3675423 48.162614)
node,7026159036,shelter,,POINT (16.3903952 48.1765127)
node,7040131888,bicycle_parking,,POINT (16.3413464 48.1570038)
node,7049440279,waste_basket,,POINT (16.3540033 48.1666926)
node,7049446617,waste_basket,,POINT (16.3533487 48.1660468)
node,7106735438,parking_entrance,,POINT (16.4099026 48.1408126)
node,7190424039,kindergarten,Kindergruppe Rainbow,POINT (16.3571037 48.1764089)
node,7213891885,restaurant,Vapiano,POINT (16.37787 48.1838071)
node,7231788203,restaurant,Adlerbräu,POINT (16.378792 48.1722561)
node,7263154018,dentist,DDr. Danko Viden,POINT (16.3456704 48.1584127)
node,7263154019,doctors,Dr. Andreas Schaller,POINT (16.345718 48.1584194)
node,7263154020,doctors,Dr. Peter Duschet,POINT (16.3458837 48.1586222)
node,7263154021,doctors,Dr. Siegfried Gallauner,POINT (16.3459039 48.1586405)
node,7263161818,doctors,Dr. Ivan Amnon Seif,POINT (16.3456863 48.1587674)
node,7263228267,dentist,Dr. Michael Sobczyk,POINT (16.3473486 48.1541299)
node,7292821306,dentist,Dr. Robert Celar,POINT (16.378571 48.1815166)
node,7293443963,charging_station,Keplerplatz,POINT (16.3764168 48.177999)
node,7293443964,charging_station,Herzgasse,POINT (16.3674013 48.1789554)
node,7293443965,charging_station,Kundratstraße,POINT (16.3544987 48.176275)
node,7293443966,charging_station,Gußriegelstraße,POINT (16.3583415 48.1733852)
node,7293443967,charging_station,Inzersdorfer Straße,POINT (16.3657169 48.172401)
node,7293443968,charging_station,Arthaberplatz,POINT (16.371143 48.1726317)
node,7293443969,charging_station,Senefeldergasse,POINT (16.3748136 48.1719386)
node,7293443970,charging_station,Rechberggasse,POINT (16.379813 48.1682996)
node,7293443971,charging_station,Otto-Probst-Straße,POINT (16.347551 48.1544796)
node,7293443972,charging_station,Sibeliusstraße,POINT (16.3631889 48.1589993)
node,7293443973,charging_station,Favoritenstraße,POINT (16.3825303 48.1578457)
node,7293443974,charging_station,Alaudagasse,POINT (16.3821897 48.1540774)
node,7293443975,charging_station,Ada-Christen-Gasse,POINT (16.3834517 48.1494803)
node,7293443977,charging_station,Oberlaaer Straße,POINT (16.388974 48.1409149)
node,7324795446,cafe,Café Stil,POINT (16.3501084 48.1553129)
